url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.23	uero	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010001312,Masculine,Dative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.23	uero	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010001512,Masculine,Ablative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.23	uero	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010003312,Neuter,Dative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.23	uero	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010003512,Neuter,Ablative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.24	aurum	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010003100,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n4588
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.24	aurum	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010003400,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n4588
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.24	aurum	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010003600,Neuter,Vocative,Singular)	urn:cite2:tabulae:ls.v1:n4588
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.26	credentes	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:021011105,Present,Active,Masculine,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.26	credentes	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:021011405,Present,Active,Masculine,Accusative,Plural)	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.26	credentes	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:021011605,Present,Active,Masculine,Vocative,Plural)	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.6	125a.6.26	credentes	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:021012105,Present,Active,Feminine,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n11525
