url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.0	itaque	uninflected conjunction	urn:cite2:tabulae:ls.v1:n25104
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.7	eo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.7	eo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.7	eo	finite verb: first singular present indicative active	urn:cite2:tabulae:ls.v1:n15868
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: neuter dative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: masculine dative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: masculine dative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	noun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.8	loco	finite verb: first singular present indicative active	urn:cite2:tabulae:ls.v1:n26891
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.9	extulit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n15216
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.9	extulit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n15216
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.10	quo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.10	quo	pronoun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.10	quo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.10	quo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.10	quo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.11	saxa	noun: neuter nominative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.11	saxa	noun: neuter accusative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.11	saxa	noun: neuter vocative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.12	acuta		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.13	et	uninflected conjunction	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.14	locus	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.14	locus	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n26903
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.15	periculosissimus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.16	erat	finite verb: third singular imperfect indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.16_0	;		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.17	illi	pronoun: masculine dative singular	urn:cite2:tabulae:ls.v1:n21494
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.17	illi	pronoun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n21494
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.17	illi	pronoun: feminine dative singular	urn:cite2:tabulae:ls.v1:n21494
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.17	illi	pronoun: neuter dative singular	urn:cite2:tabulae:ls.v1:n21494
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active masculine nominative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active masculine accusative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active masculine vocative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active feminine nominative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active feminine accusative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.18	credentes	participle: present active feminine vocative plural	urn:cite2:tabulae:ls.v1:n11525
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.19	humanitatis		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.20	causa	noun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n7197
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.20	causa	noun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n7197
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.20	causa	noun: feminine vocative singular	urn:cite2:tabulae:ls.v1:n7197
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.21	id	pronoun: neuter nominative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.21	id	pronoun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.22	factum	participle: perfect passive masculine accusative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.22	factum	participle: perfect passive neuter nominative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.22	factum	participle: perfect passive neuter vocative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.22	factum	supine: accusative	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.23	nauis	noun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n30568
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.23	nauis	noun: feminine accusative plural	urn:cite2:tabulae:ls.v1:n30568
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.23	nauis	noun: feminine genitive singular	urn:cite2:tabulae:ls.v1:n30568
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.23	nauis	noun: feminine vocative singular	urn:cite2:tabulae:ls.v1:n30568
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.24	eo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.24	eo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.24	eo	finite verb: first singular present indicative active	urn:cite2:tabulae:ls.v1:n15868
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.25	duxerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n14847
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.25_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.26	quo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.26	quo	pronoun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.26	quo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.26	quo	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.26	quo	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.27	facto	participle: perfect passive masculine dative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.27	facto	participle: perfect passive masculine ablative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.27	facto	participle: perfect passive neuter ablative singular	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.28	plurimae	adjective: feminine dative singular superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.28	plurimae	adjective: feminine genitive singular superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.28	plurimae	adjective: feminine vocative plural superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.28	plurimae	adjective: feminine nominative plural superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.29	earum	pronoun: feminine genitive plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.30	confractae		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.31	sunt	finite verb: third plural present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.33	plurimi	adjective: masculine genitive singular superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.33	plurimi	adjective: masculine nominative plural superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.33	plurimi	adjective: masculine vocative plural superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.33	plurimi	adjective: neuter genitive singular superlative	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.34	cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.35	ducibus	noun: masculine dative plural	urn:cite2:tabulae:ls.v1:n15002
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.35	ducibus	noun: masculine ablative plural	urn:cite2:tabulae:ls.v1:n15002
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.36	tempestate	noun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n47718
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.37	occisi	participle: perfect passive masculine nominative plural	urn:cite2:tabulae:ls.v1:n32088
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.37	occisi	participle: perfect passive masculine genitive singular	urn:cite2:tabulae:ls.v1:n32088
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.37	occisi	participle: perfect passive masculine vocative plural	urn:cite2:tabulae:ls.v1:n32088
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.37	occisi	participle: perfect passive neuter genitive singular	urn:cite2:tabulae:ls.v1:n32088
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.38	sunt	finite verb: third plural present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.40	eorum	pronoun: masculine genitive plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.40	eorum	pronoun: neuter genitive plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.41	cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.42	uisceribus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.43	ad	uninflected preposition	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.44	saxa	noun: neuter nominative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.44	saxa	noun: neuter accusative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.44	saxa	noun: neuter vocative plural	urn:cite2:tabulae:ls.v1:n42792
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.45	illisa		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.46	sunt	finite verb: third plural present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.46_0	;		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.47	si	participle: perfect passive masculine nominative plural	urn:cite2:l3:composites.v1:do
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.47	si	participle: perfect passive masculine genitive singular	urn:cite2:l3:composites.v1:do
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.47	si	participle: perfect passive masculine vocative plural	urn:cite2:l3:composites.v1:do
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.47	si	participle: perfect passive neuter genitive singular	urn:cite2:l3:composites.v1:do
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.47	si	uninflected conjunction	urn:cite2:tabulae:ls.v1:n44096
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.48	qui	pronoun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.48	qui	pronoun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.48	qui	pronoun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.49	autem	uninflected conjunction	urn:cite2:tabulae:ls.v1:n4633
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.50	potuerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n37193
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.51	ad	uninflected preposition	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.52	terram	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n47897
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.53	natare	finite verb: second singular present indicative passive	urn:cite2:tabulae:ls.v1:n30470
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.53	natare	infinitive: present active	urn:cite2:tabulae:ls.v1:n30470
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.53_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.54	a	uninflected preposition	urn:cite2:tabulae:ls.v1:n4
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.55	Nauplio		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.56	interficiebantur	finite verb: third plural imperfect indicative passive	urn:cite2:tabulae:ls.v1:n24257
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.56_0	.		urn:cite2:tabulae:ls.v1:null
