url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.28	cui	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003301,Neuter,Dative,Singular)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.28	cui	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002301,Feminine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.28	cui	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001301,Masculine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.28	cui	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003301,Neuter,Dative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.28	cui	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002301,Feminine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.29	soror	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002100,Feminine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n44798
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.29	soror	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002600,Feminine,Vocative,Singular)	urn:cite2:tabulae:ls.v1:n44798
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.30	quid	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003101,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.30	quid	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003401,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.31	ueri	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020001112,Masculine,Nominative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.31	ueri	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010001212,Masculine,Genitive,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.31	ueri	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020001612,Masculine,Vocative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.31	ueri	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010003212,Neuter,Genitive,Singular,Positive)	urn:cite2:tabulae:ls.v1:n50667
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.32	esset	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:312210004,Third,Singular,Imperfect,Subjunctive,Active)	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.33	patefecit	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:314110004,Third,Singular,Perfect,Indicative,Active)	urn:cite2:tabulae:ls.v1:n34084
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.33_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.34	et	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.35	eius	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002201,Feminine,Genitive,Singular)	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.35	eius	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003201,Neuter,Genitive,Singular)	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.35	eius	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001201,Masculine,Genitive,Singular)	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.36	consilio	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010003300,Neuter,Dative,Singular)	urn:cite2:tabulae:ls.v1:n10519
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.36	consilio	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010003500,Neuter,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n10519
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.37	Polymnestorem		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.38	luminibus	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020003300,Neuter,Dative,Plural)	urn:cite2:tabulae:ls.v1:n27193
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.38	luminibus	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020003500,Neuter,Ablative,Plural)	urn:cite2:tabulae:ls.v1:n27193
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.39	priuauit	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:314110004,Third,Singular,Perfect,Indicative,Active)	urn:cite2:tabulae:ls.v1:n38381
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.40	atque	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n4275
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.41	interfecit	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:314110004,Third,Singular,Perfect,Indicative,Active)	urn:cite2:tabulae:ls.v1:n24257
https://lingualatina.github.io/texts/browsable/hyginus/109a/	109a.5	109a.5.41_0	.		urn:cite2:tabulae:ls.v1:null
